CASRN,List,ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL.L_OPERA_PRED
35857-62-6,Pesticides,9.78E-11,247.988,17.2279,378.036,3.53E-07,13.1811,10.2611,10158.7,9.45152,-74.6665,3.49E-05,3.44E-09
163041-94-9,Pesticides,1.18E-10,238.543,5.16909,305.858,2.45E-07,2.61202,7.79297,1919.31,5.44585,-27.5758,3.41E-05,2.76E-06
137-32-6,Pesticides,1.26E-11,5.7278,4.26629,127.863,1.41E-05,0.0728654,4.50606,14.8198,1.28898,-56.0478,3.12851,0.337951
74174-44-0,Pesticides,2.49E-11,56.7529,164.389,380.651,8.32E-12,0.640901,9.45905,141337,2.55861,237.947,2.51E-10,9.47E-05
65733-16-6,Pesticides,4.75E-11,143.433,4.76252,348.799,1.10E-07,0.954644,8.95414,1403.08,5.5028,-8.50141,2.36E-05,2.76E-06
40596-69-8,Pesticides,4.75E-11,143.433,4.76252,348.799,1.10E-07,0.954644,8.95414,1403.08,5.5028,-8.50141,2.36E-05,2.76E-06
74-93-1,Pesticides,3.26E-11,6.58441,8.91595,5.89669,0.00468647,0.220277,1.35419,2.97837,0.974351,-123.089,1500.69,0.365707
62-54-4,Pesticides,7.41E-13,4.34366,4.59912,117.958,1.00E-07,0.102194,4.23032,1.00727,-1.61104,268.97,15.6073,13.4017
64-19-7,Pesticides,7.41E-13,4.34366,4.59912,117.958,1.00E-07,0.102194,4.23032,1.00727,-0.170189,16.6239,15.6073,13.4017
67-48-1,Pesticides,2.42E-11,2.4717,4.13405,144.02,1.81E-05,0.0944244,4.07524,12.1051,-2.03656,148.695,10.3001,4.64483
181213-09-2,Pesticides,1.83E-11,5.03915,4.77797,325.648,7.26E-10,0.463589,10.943,2621.18,0.561409,122.051,1.94E-07,3.75E-05
123551-47-3,Pesticides,1.81E-10,930.945,5.09034,328.805,5.93E-06,0.71755,10.5135,2590.94,6.94199,20.481,1.82E-06,1.78E-07
66410-28-4,Pesticides,1.78E-10,924.902,4.59775,328.783,5.94E-06,0.715703,10.5135,2591.09,6.94018,22.2567,1.81E-06,1.99E-07
66410-24-0,Pesticides,1.78E-10,924.902,4.59775,328.783,5.94E-06,0.715703,10.5135,2591.09,6.94018,22.2567,1.81E-06,1.99E-07
525-79-1,Pesticides,4.20E-11,2.32491,3.35802,333.375,6.43E-10,0.130011,7.8499,74.7643,0.696754,266.458,1.70E-10,0.0351825
56-86-0,Pesticides,3.39E-12,3.87136,3.55378,318.234,4.98E-10,0.093612,7.25837,21.5301,-3.68797,201.077,1.70E-08,0.689195
6766-87-6,Pesticides,9.82E-12,3.80687,4.96007,318.006,2.28E-11,0.306243,9.37979,37.8169,-1.51078,173.319,1.51E-12,0.00342189
15708-41-5,Pesticides,9.82E-12,3.80687,4.96007,318.006,2.28E-11,0.306243,9.37979,37.8169,-1.88918,173.27,1.51E-12,0.00342189
133-32-4,Pesticides,9.11E-11,3.42997,3.54476,304.297,6.37E-10,0.46272,8.11042,117.068,2.30192,124.564,1.43E-07,0.00947193
7681-93-8,Pesticides,3.07E-11,4.15141,86.8932,377.139,1.98E-11,0.230005,9.56829,2323.92,1.12173,236.107,1.26E-09,0.00285893
34010-21-4,Pesticides,5.00E-11,906.497,5.72306,316.106,3.07E-07,1.28645,8.86918,2307.93,6.99692,-19.4077,1.25E-05,6.03E-07
617-04-9,Pesticides,2.69E-11,1.72522,3.54219,314.447,1.89E-09,0.081596,8.18096,107.005,-2.12233,167.96,1.18E-09,1.01885
84-65-1,Pesticides,2.42E-11,6.8013,16.6988,376.901,3.05E-07,0.219696,8.41405,3707.17,3.38871,284.565,1.16E-07,3.29E-06
1193-18-6,Pesticides,1.87E-11,4.11705,3.55737,200.594,1.33E-05,0.123133,3.96547,64.1493,0.76923,-20.763,0.957338,0.0654807
5392-40-5,Pesticides,1.16E-10,21.8874,4.51242,228.008,5.53E-05,0.123944,5.00985,91.635,2.99753,12.1481,0.64336,0.0086826
26532-24-1,Pesticides,6.10E-11,69.0684,3.55345,228.419,9.26E-05,0.0945373,5.00496,452.534,2.49465,11.3768,0.638786,0.00454206
26532-25-2,Pesticides,6.10E-11,69.0684,3.55345,228.419,9.26E-05,0.0945373,5.00496,452.534,2.49465,11.3768,0.638786,0.00454206
80-71-7,Pesticides,2.31E-12,1.80758,3.56209,183.661,9.11E-07,0.181702,3.94559,26.3257,0.0197594,105.867,0.490131,0.809332
10519-33-2,Pesticides,6.79E-11,139.348,4.30263,213.306,0.00014943,1.04309,5.05442,213.497,3.51615,1.9785,0.279747,0.000258477
623-19-8,Pesticides,1.03E-11,2.73119,4.64386,195.167,0.000028975,0.128679,4.43367,68.074,1.89215,15.0275,0.236975,0.109577
3391-86-4,Pesticides,5.67E-11,9.45325,3.55609,180.42,2.91E-05,0.0676689,5.6591,39.1738,2.38141,-52.7122,0.190443,0.0144979
3687-48-7,Pesticides,5.67E-11,9.45325,3.55609,180.42,2.91E-05,0.0676689,5.6591,39.1738,2.38141,-52.7122,0.190443,0.0144979
824-39-5,Pesticides,9.01E-13,21.8159,4.08089,216.081,1.28E-05,0.248302,5.70368,71.67,0.68154,53.4941,0.111661,0.0179178
6485-40-1,Pesticides,1.65E-10,10.3952,3.48034,230.229,0.000329157,0.0911839,5.05726,213.171,2.36204,8.78191,0.103175,0.00873173
5870-93-9,Pesticides,1.27E-11,16.8499,4.46173,223,0.000186567,0.885174,5.82282,690.247,4.2539,-57.8769,0.102143,0.000159397
79-33-4,Pesticides,1.64E-12,4.19671,5.43152,208.699,8.93E-09,0.0844451,6.72122,10.1804,-0.720713,40.9342,0.0809846,3.22296
814-80-2,Pesticides,1.64E-12,4.19671,5.43152,208.699,8.93E-09,0.0844451,6.72122,10.1804,-1.51452,234.432,0.0809846,3.22296
106-22-9,Pesticides,8.00E-11,45.9541,3.53679,224.258,5.07E-06,0.112859,7.37512,130.266,3.90856,9.67353,0.0441618,0.00211118
112-12-9,Pesticides,1.45E-11,18.5347,5.01909,228.357,6.39E-05,3.30044,5.79476,574.852,4.09027,14.1398,0.041677,1.10E-07
119-36-8,Pesticides,1.12E-11,5.3167,3.54314,222.964,7.70E-08,0.128203,6.54548,55.7648,2.54681,-7.70939,0.0337693,0.0149092
106-24-1,Pesticides,2.23E-10,7.60944,4.46853,227.422,5.61E-07,0.092433,7.64617,96.8741,3.55828,6.78329,0.0300552,0.00150491
26532-23-0,Pesticides,8.00E-11,28.9974,3.54192,222.592,2.96E-06,0.180914,7.61257,184.675,3.12465,26.5314,0.0290916,0.00553625
104-55-2,Pesticides,4.80E-11,8.70758,4.81723,245.978,6.57E-05,0.513347,4.82822,66.9829,1.89921,-6.93975,0.0290401,0.0107571
97-53-0,Pesticides,6.15E-11,7.08184,3.32808,253.35,2.21E-07,0.171049,7.71632,1850.44,2.27242,-8.85146,0.0223817,0.00513607
122-70-3,Pesticides,1.69E-11,22.8814,4.2818,243.752,0.000077974,0.228996,5.72116,90.8663,3.00495,-9.67017,0.0197062,0.00104117
41318-75-6,Flame_Retardant,1.06E-11,674120,23.6421,334.818,0.00019685,17.8235,9.44648,266695,5.93977,199.631,6.73E-07,2.52E-05
39568-99-5,Flame_Retardant,6.99E-13,9623.04,29.5225,329.405,0.00034781,1.61938,10.585,51839.7,5.93741,168.584,2.87E-05,4.35E-09
995-32-4,Flame_Retardant,2.53E-11,3.95776,4.07575,306.871,3.40E-07,0.53206,9.63169,100.855,2.67889,-4.06133,9.48E-05,0.147502
5945-33-5,Flame_Retardant,2.97E-11,297.978,4.22738,472.726,4.00E-07,0.753957,11.6728,129307,4.99887,218.253,1.63E-10,8.10E-07
437701-79-6,Flame_Retardant,9.63E-13,386042,249.434,507.114,0.00155305,35.8941,11.6788,348959,7.85665,294.722,3.25E-11,4.38E-10
958802-46-5,Flame_Retardant,1.07E-12,623287,25.2683,370.044,1.17E-05,34.688,10.566,972828,7.0932,92.8796,1.49E-06,3.97E-09
67562-39-4,Flame_Retardant,9.43E-13,2818.66,38.4526,464.199,0.00104049,7.94457,11.2717,981862,7.92013,232.898,3.56E-11,3.29E-12
18181-70-9,Flame_Retardant,8.65E-12,4157.83,5.67604,389.311,7.71E-06,7.24917,9.74856,6205.5,5.50909,72.3893,8.33E-07,6.62E-07
147217-72-9,Flame_Retardant,1.46E-11,10530.3,16.5029,331.891,0.00017847,4.92114,8.43594,59327.1,5.34235,60.193,0.00018055,1.09E-05
446254-39-3,Flame_Retardant,2.53E-12,1143000,24.6381,376.011,1.09E-05,39.8423,10.5288,643775,6.4895,182.007,1.01E-07,1.22E-07
87-83-2,Flame_Retardant,7.44E-13,270.865,49.7475,342.384,0.00086519,0.744057,8.95373,16994.6,5.44634,287.339,0.00052294,1.09E-08
446255-08-9,Flame_Retardant,1.01E-12,1072010,49.4592,415.189,0.00410014,53.5353,11.711,259479,7.70391,221.891,6.38E-08,9.28E-09
446254-32-6,Flame_Retardant,2.61E-12,1062860,13.1043,376.646,0.00437747,41.9282,9.74871,643787,6.56656,182.019,1.93E-07,1.22E-07
1163-19-5,Flame_Retardant,3.08E-12,249330,513.944,529.987,0.00160566,14.4705,11.677,359623,7.73829,295.059,8.47E-11,1.05E-10
57117-31-4,Flame_Retardant,9.42E-13,13315,18.1452,407.496,0.00022165,22.8323,10.3896,1162920,6.90966,204.424,2.60E-09,6.87E-10
106-41-2,Flame_Retardant,2.14E-11,15.1424,5.38613,238.001,1.51E-07,0.222197,6.52372,258.003,2.59041,66.1348,0.0118213,0.081502
446254-77-9,Flame_Retardant,2.35E-12,1839040,23.9873,389.471,0.00903745,51.4691,10.9599,585682,7.35273,213.504,4.24E-08,1.77E-08
56-23-5,Flame_Retardant,1.20E-16,7.44655,19.8666,76.7837,0.0275951,0.0646556,2.78329,70.7792,2.82938,-22.8678,114.402,0.00507698
446254-51-9,Flame_Retardant,9.79E-13,1839040,25.3355,389.471,0.00440801,46.5179,10.9599,605674,7.27235,214.98,3.07E-08,1.81E-08
2502-15-0,Flame_Retardant,2.81E-11,6846.61,4.22725,452.722,1.31E-06,2.72826,11.6806,71649.5,6.10208,55.1161,3.43E-09,3.06E-07
2227-13-6,Flame_Retardant,6.97E-13,22900.3,18.7395,334.724,8.35E-05,244.925,9.1878,55003.9,6.67159,184.014,2.30E-05,9.26E-08
20120-33-6,Flame_Retardant,1.32E-11,1.35599,3.81481,310.516,4.93E-10,0.128277,8.19809,14.8089,-0.359705,155.346,2.98E-06,3.15941
40321-76-4,Flame_Retardant,2.68E-12,18174.1,14.392,400.659,1.88E-05,36.2708,10.5254,1443770,6.63773,236.308,4.38E-10,3.14E-10
82-68-8,Flame_Retardant,2.38E-13,550.819,12.2829,327.939,0.00093903,0.677731,7.56294,9556.21,4.63975,143.893,5.01E-05,1.51E-06
446254-19-9,Flame_Retardant,1.06E-12,786593,24.1072,378.907,0.00032352,39.8556,9.97724,935534,6.46222,199.714,5.86E-07,1.23E-07
24173-07-7,Flame_Retardant,2.55E-12,1358.09,13.631,276.49,0.00023908,0.891663,7.25495,6766.81,4.38112,47.437,0.631259,5.88E-05
2104-96-3,Flame_Retardant,8.52E-12,3880.78,5.68185,372.42,7.44E-06,9.31554,9.59832,3424.6,5.21004,53.6044,0.00012698,2.79E-06
52434-59-0,Flame_Retardant,1.61E-11,432.135,11.8893,350.867,0.00087215,1.06868,11.6803,10923.1,4.33351,59.5656,7.94E-07,1.64E-07
77102-82-0,Flame_Retardant,1.12E-12,992896,51.0521,369.758,1.09E-05,66.7791,10.2068,644443,7.22552,93.0919,4.06E-06,4.84E-09
116995-32-5,Flame_Retardant,9.32E-13,638518,113.252,464.707,0.00808963,49.7905,11.6879,297666,8.14485,225.219,1.34E-07,4.74E-09
813-78-5,Flame_Retardant,3.49E-11,5.34981,4.90621,174.046,2.64E-07,0.0800573,5.03404,3.85704,-0.902373,25.9683,0.375299,1.33531
6294-34-4,Flame_Retardant,2.05E-11,2.27135,3.67948,274.755,1.68E-06,0.318748,8.4188,33.5696,1.79264,-22.1991,0.0223483,0.0174995
31454-48-5,Flame_Retardant,4.74E-12,1015.71,150.101,308.993,0.00010252,3.00107,8.41319,2567.42,5.63237,37.5151,0.0490068,1.67E-05
118-79-6,Flame_Retardant,4.69E-12,513.486,13.7536,285.974,1.05E-07,0.165673,8.4764,5714.43,4.13057,95.4392,0.0220368,0.00564117
93-52-7,Flame_Retardant,2.78E-12,117.769,5.62803,248.858,0.000204,1.91056,5.94987,546.008,3.56645,75.649,0.0107039,0.00010053
53461-82-8,Flame_Retardant,1.77E-11,4.69943,4.13902,416.861,3.03E-07,3.74392,11.6823,75.9937,2.37986,24.7441,1.20E-05,0.13301
446255-54-5,Flame_Retardant,9.55E-13,462365,174.889,497.068,0.00277117,43.9905,11.6818,332299,8.34356,206.794,3.16E-07,1.43E-09
78-40-0,Flame_Retardant,5.52E-11,1.28887,4.90451,215.446,3.62E-08,0.0813037,5.78968,60.5996,0.800133,-56.38,0.391431,2.69531
147-82-0,Flame_Retardant,2.33E-11,795.486,35.2211,299.965,5.79E-08,0.152327,9.06295,9898.11,3.89997,121.857,0.00374931,0.00089417
1770-80-5,Flame_Retardant,2.18E-11,72.9686,13.3511,389.269,5.85E-07,1.35981,11.7055,83387.1,4.65073,96.6778,5.37E-07,0.00017819
59080-39-6,Flame_Retardant,8.43E-13,1716550,50.1359,382.028,1.14E-05,16.6456,11.5732,478204,7.02624,93.3695,1.70E-07,2.00E-10
5445-19-2,Flame_Retardant,1.10E-11,11.9641,4.64024,190.986,0.0001837,0.090053,4.59199,72.8438,2.96792,-31.7147,2.06214,0.00678061
37853-59-1,Flame_Retardant,8.55E-12,1536650,32.6625,464.075,0.0107686,45.782,11.6856,214386,7.58495,183.406,3.77E-08,2.88E-07
115245-07-3,Flame_Retardant,1.34E-12,7483.66,16.2739,329.185,0.00001763,21.5087,9.72087,88089.5,6.10164,84.0352,0.00032902,3.46E-08
337513-68-5,Flame_Retardant,1.09E-12,1007900,24.1372,378.58,0.00407059,40.1481,9.71667,643717,6.4853,200.127,3.67E-07,1.23E-07
446255-27-2,Flame_Retardant,9.55E-13,638073,77.4811,481.653,0.00240898,53.4378,11.6895,298435,8.10499,225.367,1.02E-07,4.75E-09
